SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
cDNA_167,H3Dr(P5),bean,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_168,H3Dr(U1),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_169,H3Dr(U2),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_170,H3Dr(U3),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_171,H3Dr(U4),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_172,H3Dr(U5),bean,Day 4,drought,unplanted,Day 4unplanted,drought_unplanted,RNA
cDNA_173,H4Dr(P1),bean,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_174,H4Dr(P2),bean,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_175,H4Dr(P3),bean,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_176,H4Dr(P4),bean,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_177,H4Dr(P5),bean,Day 5,drought,planted,Day 5planted,drought_planted,RNA
cDNA_180,H4Dr(U1),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_181,H4Dr(U2),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_182,H4Dr(U3),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_183,H4Dr(U4),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_184,H4Dr(U5),bean,Day 5,drought,unplanted,Day 5unplanted,drought_unplanted,RNA
cDNA_185,H5Dr(P1),bean,Day 6,drought,planted,Day 6planted,drought_planted,RNA
cDNA_186,H5Dr(P2),bean,Day 6,drought,planted,Day 6planted,drought_planted,RNA
